file,icon,prompt,alt_text
app/about/page.tsx,medal,"Create a clean, modern, minimal flat icon of a circular medal with ribbon to represent military service — 24x24 grid, 2-color palette (primary #0f172a, accent #f59e0b), 2px strokes, optimized SVG + PNG (32x32, 128x128), light and dark variants, provide suggested aria-label and one-line alt text.","medal — military service"
app/about/page.tsx,car,"Create a minimal side-view car icon (clean silhouette) to represent automotive experience — 24x24 grid, primary dark stroke #0f172a with subtle accent #06b6d4 for highlights, optimized SVG + PNG (32x32, 128x128), light/dark variants, include aria-label and alt text.","car — automotive"
app/about/page.tsx,laptop,"Create a simple laptop icon with an open screen for development — 24x24 grid, thin 2px strokes, accent screen fill #06b6d4, optimized SVG + PNG (32x32, 128x128), light/dark variants, include aria-label and alt text.","laptop — development"
app/about/page.tsx,gi-belt,"Create a clean martial-arts belt icon (belt with knot) to represent BJJ rank — 24x24 grid, minimal geometry, provide belt color variants (white, blue, purple, brown, black), optimized SVG + PNG, light/dark variants, include aria-label and alt text.","martial arts belt"
app/about/page.tsx,lightbulb,"Create a modern lightbulb icon (tip/insight) — 24x24 grid, accent filament color #06b6d4, dark stroke #0f172a, 2px strokes, optimized SVG + PNG, light/dark variants, include aria-label and alt text.","tip — idea"
components/HowItWorks.tsx,user-step,"Create a simple user silhouette icon for step diagrams — 24x24 grid, geometric shapes, 2-color palette (dark slate + teal accent), 2px strokes, optimized SVG + PNG, light/dark variants, include aria-label and alt text.","user — visitor"
components/HowItWorks.tsx,target,"Create a minimal target/bullseye icon to represent goal or conversion — 24x24 grid, concentric circles with accent ring, 2px strokes, optimized SVG + PNG, light/dark variants, include aria-label and alt text.","goal — target"
components/HowItWorks.tsx,lightning,"Create a modern lightning bolt icon for speed/performance — 24x24 grid, sharp geometry, accent yellow #facc15, optimized SVG + PNG, light/dark variants, include aria-label and alt text.","energy — lightning"
components/HowItWorks.tsx,database,"Create a minimal database/disc icon for storage — 24x24 grid, stacked cylinders, 2-color palette, 2px strokes, optimized SVG + PNG, light/dark variants, include aria-label and alt text.","storage — database"
components/WhatCanYouBuild.tsx,users,"Create a simple group/users icon (two silhouettes) for project type — 24x24 grid, geometric forms, dark stroke with teal accent, optimized SVG + PNG, light/dark variants, include aria-label and alt text.","users — group"
components/WhatCanYouBuild.tsx,shopping-cart,"Create a minimal shopping cart icon for online store examples — 24x24 grid, geometric wheels, accent handle, dark strokes, optimized SVG + PNG, light/dark variants, include aria-label and alt text.","cart — shopping"
components/WhatCanYouBuild.tsx,document,"Create a clean document/paper icon for blog platform — 24x24 grid, folded corner, dark stroke and accent, optimized SVG + PNG, light/dark variants, include aria-label and alt text.","document — writing"
app/cart/page.tsx,globe,"Create a minimal globe icon to represent website/package product type — 24x24 grid, simple lat/long lines, dark stroke with teal highlights, optimized SVG + PNG, light/dark variants, include aria-label and alt text.","website"
app/cart/page.tsx,sparkles,"Create a small sparkle/starburst icon to represent addons/enhancements — 24x24 grid, accent #06b6d4, minimal geometry, optimized SVG + PNG, light/dark variants, include aria-label and alt text.","addon — enhancement"
app/checkout/page.tsx,warning,"Create a minimal warning triangle icon with rounded corners and exclamation mark — 24x24 grid, warm accent #f59e0b, dark slate strokes, optimized SVG + PNG, light/dark variants, include aria-label and alt text.","warning — attention required"
app/checkout/page.tsx,calendar,"Create a minimal calendar icon to represent appointment scheduling — 24x24 grid, grid date marks, dark stroke with accent, optimized SVG + PNG, light/dark variants, include aria-label and alt text.","calendar — schedule"
app/checkout/page.tsx,credit-card,"Create a simple credit-card icon for payment step — 24x24 grid, rectangular card with stripe and chip detail, 2-color palette, optimized SVG + PNG, light/dark variants, include aria-label and alt text.","payment — credit card"
components/CurrencySelector.tsx,flag-us,"Create an optimized US flag icon for currency selector — accurate colors and proportions, export PNG (32x32, 128x128) and SVG, include suggested aria-label and alt text.","United States flag"
components/CurrencySelector.tsx,flag-gb,"Create an optimized United Kingdom flag icon for currency selector — accurate colors and proportions, export PNG (32x32, 128x128) and SVG, include suggested aria-label and alt text.","United Kingdom flag"
