handle,title,type,existing_thumbnail,type_image,purpose,prompt,output,alt_text,filename
launch-site,Launch Site,package,,hero,Marketing hero for product detail and social,"Photorealistic hero: a modern laptop on a clean desk showing a 3-5 page website homepage in a browser, soft window light, shallow depth of field, warm neutral tones, brand-accent teal #06b6d4 on key UI elements, no faces, 3:2 aspect, output JPG 2400x1600 and WebP 1200x800.","jpg:2400x1600|webp:1200x800","Launch site — quick website build",launch-site-hero
launch-site,Launch Site,package,,thumbnail,Listing card thumbnail,"Clean studio thumbnail: a small browser window mockup card on a light gray background with label 'Launch Site' and price tag, crisp lighting, subtle shadow, brand accent #06b6d4, PNG 800x800 and WebP 400x400.","png:800x800|webp:400x400","Launch Site — website package",launch-site-thumb
growth-site,Growth Site,package,,hero,Marketing hero emphasizing scale and analytics,"Photorealistic hero: modern meeting table with laptop showing analytics dashboard and blog, tasteful composition, cool neutrals with teal accent #06b6d4 on graphs, shallow depth of field, 3:2 aspect, JPG 2400x1600 + WebP 1200x800.","jpg:2400x1600|webp:1200x800","Growth Site — scalable website with blog and CMS",growth-site-hero
growth-site,Growth Site,package,,thumbnail,Listing thumbnail,"Studio thumbnail: small mockup with multiple page thumbnails layered, label 'Growth Site', clean background, brand accent #06b6d4, PNG 800x800 and WebP 400x400.","png:800x800|webp:400x400","Growth Site thumbnail",growth-site-thumb
additional-page,Extra Page,addon,,hero,Feature hero showing a single page design,"Photorealistic hero: close-up of a single-page mockup on a tablet with a pen beside it, soft studio lighting, neutral background, accent #06b6d4 on CTA, 3:2 aspect, JPG 2000x1333 + WebP 1000x667.","jpg:2000x1333|webp:1000x667","Extra page — additional page design",additional-page-hero
additional-page,Extra Page,addon,,thumbnail,Listing thumbnail,"Minimal thumbnail: single sheet mockup with '+1' badge, clean background, PNG 800x800 and WebP 400x400, brand accent #06b6d4.","png:800x800|webp:400x400","Extra Page thumbnail",additional-page-thumb
blog-setup,Blog,addon,,hero,Hero for content/blog setup,"Photorealistic hero: cozy desk with open laptop showing a blog CMS editor, a notebook, and a cup of coffee, warm tones, brand accent #06b6d4 on editor UI, 3:2 aspect, JPG 2400x1600 + WebP 1200x800.","jpg:2400x1600|webp:1200x800","Blog setup — MDX blog and CMS",blog-setup-hero
blog-setup,Blog,addon,,thumbnail,Listing thumbnail,"Clean thumbnail: small article card with image placeholder and title line, neutral background, accent #06b6d4, PNG 800x800 and WebP 400x400.","png:800x800|webp:400x400","Blog setup thumbnail",blog-setup-thumb
contact-form-files,File Uploads,addon,,hero,Hero showing file upload interaction,"Photorealistic hero: hand interacting with a web form file upload UI on a tablet, subtle motion blur, clean UI, brand accent #06b6d4 on upload button, 3:2 aspect, JPG 2000x1333 + WebP 1000x667.","jpg:2000x1333|webp:1000x667","File uploads — enhanced contact form",contact-form-files-hero
contact-form-files,File Uploads,addon,,thumbnail,Listing thumbnail,"Thumbnail: stylized file icon with small upload arrow on soft background, PNG 800x800 and WebP 400x400, accent #06b6d4.","png:800x800|webp:400x400","File uploads thumbnail",contact-form-files-thumb
